id,cut,color,clarity,x,y,z,price
11257,Ideal,E,VVS2,5.46,5.51,3.3,7.845
11258,Premium,E,SI1,4.71,4.74,2.88,6.532
11259,Good,E,SI2,6.53,6.58,4.15,8.31
11260,Premium,G,VVS2,4.52,4.47,2.76,6.903
11261,Very Good,H,SI1,6.08,6.12,3.82,8.145
11262,Ideal,E,VS1,4.79,4.75,2.96,6.867
11263,Ideal,F,SI2,4.97,5.0,3.06,6.781
11264,Premium,F,SI1,4.6,4.63,2.86,6.482
11265,Ideal,I,VVS1,4.72,4.76,2.91,6.672
11266,Ideal,H,VS2,4.76,4.78,2.93,6.586
11267,Premium,I,VVS1,4.84,4.79,2.88,7.009
11268,Premium,J,VS2,6.4,6.35,3.93,8.164
11269,Ideal,I,SI2,8.07,8.11,4.94,9.541
11270,Premium,H,VS2,5.17,5.14,3.07,6.872
11271,Premium,F,SI2,6.54,6.49,3.98,8.308
11272,Ideal,G,VVS1,6.39,6.42,4.01,9.046
11273,Good,J,VS2,4.7,4.66,3.01,6.664
11274,Ideal,F,VS1,5.71,5.77,3.53,8.219
11275,Premium,H,SI1,8.13,8.03,4.97,9.725
11276,Ideal,F,VVS1,4.85,4.87,2.99,7.109
11277,Premium,G,SI2,6.14,6.1,3.61,7.729
11278,Very Good,H,VVS1,4.34,4.37,2.74,6.593
11279,Good,E,SI1,5.62,5.65,3.58,7.851
11280,Ideal,G,VS2,5.34,5.32,3.25,7.437
11281,Premium,I,VS1,4.41,4.37,2.67,6.443
11282,Fair,D,SI2,5.62,5.59,3.62,7.695
11283,Ideal,G,VVS2,5.02,5.11,3.15,7.473
11284,Premium,F,SI1,6.44,6.41,4.0,8.584
11285,Ideal,H,VVS1,5.32,5.27,3.2,7.573
11286,Good,E,SI1,5.39,5.37,3.05,7.128
11287,Ideal,G,IF,4.35,4.38,2.7,6.792
11288,Premium,I,VS1,4.66,4.72,2.81,6.551
11289,Ideal,F,VVS1,4.46,4.48,2.74,6.795
11290,Very Good,E,SI1,5.73,5.76,3.56,7.849
11291,Good,H,SI1,4.57,4.53,2.91,6.528
11292,Very Good,F,VS1,4.63,4.66,2.89,6.964
11293,Ideal,I,VS2,8.29,8.22,4.98,9.712
11294,Very Good,F,SI1,5.37,5.59,3.21,7.218
11295,Very Good,E,IF,4.33,4.37,2.74,6.844
11296,Premium,J,VS2,4.69,4.74,2.92,6.415
11297,Very Good,G,SI2,6.32,6.28,3.77,8.254
11298,Premium,F,SI1,5.94,5.9,3.61,7.957
11299,Very Good,J,SI1,6.57,6.64,4.12,8.37
11300,Ideal,H,VS2,4.33,4.35,2.7,6.196
11301,Premium,E,SI2,8.45,8.35,4.95,9.531
11302,Good,I,VS1,7.64,7.61,4.36,9.18
11303,Fair,G,VS1,5.03,4.91,3.27,7.208
11304,Ideal,E,SI1,6.5,6.41,4.01,8.63
11305,Premium,D,SI1,5.3,5.26,3.17,7.419
11306,Ideal,H,SI2,7.36,7.39,4.61,8.938
11307,Good,J,SI2,5.39,5.43,3.5,7.04
11308,Premium,F,VS2,6.85,6.74,4.28,8.875
11309,Very Good,J,SI1,8.11,8.17,5.05,9.373
11310,Very Good,G,VVS1,4.37,4.4,2.67,6.736
11311,Premium,F,VVS1,4.45,4.41,2.63,6.89
11312,Ideal,H,IF,4.44,4.41,2.75,7.016
11313,Premium,G,VS1,5.1,5.05,3.19,7.485
11314,Very Good,H,VVS1,4.73,4.78,2.92,6.95
11315,Very Good,H,VVS1,5.59,5.65,3.48,7.751
11316,Ideal,F,VVS2,5.44,5.49,3.36,8.086
11317,Ideal,H,SI1,6.88,6.9,4.29,8.834
11318,Ideal,H,SI2,6.98,6.94,4.22,8.691
11319,Very Good,E,VS2,6.41,6.45,3.97,8.662
11320,Ideal,G,SI2,8.16,8.11,5.01,9.808
11321,Good,E,VS2,5.12,5.16,3.26,7.363
11322,Ideal,I,VS2,4.96,4.91,3.04,6.921
11323,Premium,G,VVS2,4.8,4.85,2.97,6.87
11324,Very Good,J,VS1,4.41,4.47,2.74,6.103
11325,Ideal,J,VS2,8.41,8.45,5.08,9.707
11326,Premium,I,VS2,4.47,4.44,2.7,6.387
11327,Premium,H,SI1,6.91,6.85,4.28,8.822
11328,Ideal,D,VS2,6.96,6.93,4.06,9.001
11329,Premium,J,SI2,6.41,6.37,3.95,8.178
11330,Premium,H,SI1,5.97,5.93,3.66,7.923
11331,Premium,E,SI2,8.27,8.39,4.97,9.746
11332,Premium,G,VS1,4.39,4.37,2.72,6.719
11333,Ideal,G,VVS2,4.35,4.38,2.71,6.593
11334,Premium,F,SI1,5.51,5.48,3.39,7.375
11335,Very Good,F,VS1,5.15,5.22,3.21,7.41
11336,Premium,G,SI1,6.77,6.68,4.17,8.489
11337,Ideal,H,SI2,8.18,8.12,5.02,9.72
11338,Ideal,G,VS1,4.4,4.42,2.74,6.469
11339,Good,H,SI1,7.31,7.39,4.48,9.148
11340,Very Good,I,VS2,6.73,6.77,4.22,8.652
11341,Ideal,H,SI1,4.29,4.32,2.67,6.109
11342,Good,H,VS1,5.12,5.16,3.25,7.216
11343,Ideal,J,VS2,6.59,6.64,4.13,8.42
11344,Premium,J,SI2,8.02,8.08,5.05,9.415
11345,Very Good,D,SI1,5.71,5.87,3.53,7.895
11346,Very Good,G,SI1,5.66,5.75,3.52,7.745
11347,Ideal,I,SI2,4.49,4.5,2.75,5.999
11348,Very Good,D,SI2,6.99,7.03,4.34,8.72
11349,Ideal,I,VVS2,5.68,5.72,3.54,7.769
11350,Ideal,G,VS1,6.93,6.87,4.3,8.795
11351,Ideal,D,SI1,5.18,5.14,3.22,7.45
11352,Premium,H,SI1,6.37,6.3,3.97,8.474
11353,Ideal,G,VS2,6.95,6.89,4.31,9.082
11354,Ideal,E,SI1,5.79,5.75,3.53,7.888
11355,Ideal,D,SI2,6.21,6.15,3.85,7.938
11356,Very Good,E,SI1,4.72,4.76,2.98,6.627
11357,Premium,F,SI2,6.36,6.42,3.94,8.419
11358,Fair,E,SI2,6.54,6.49,3.71,8.266
11359,Very Good,E,SI2,6.43,6.34,4.05,8.243
11360,Ideal,E,VS2,5.14,5.1,3.22,7.396
11361,Good,D,SI1,4.35,4.38,2.78,6.378
11362,Fair,D,SI2,5.56,5.43,3.6,7.499
11363,Very Good,E,SI1,4.45,4.42,2.8,6.541
11364,Ideal,G,VVS1,6.51,6.49,3.97,9.065
11365,Very Good,I,SI2,8.31,8.37,5.12,9.598
11366,Ideal,H,SI2,5.71,5.74,3.52,7.66
11367,Ideal,H,VS2,5.94,5.91,3.64,7.996
11368,Very Good,I,VS1,6.71,6.74,4.15,8.56
11369,Premium,F,SI2,7.87,7.8,4.58,9.141
11370,Very Good,G,VS2,6.96,7.03,4.16,8.975
11371,Very Good,G,VVS2,5.26,5.32,3.25,7.606
11372,Ideal,G,VS2,4.32,4.26,2.67,6.515
11373,Premium,F,VS1,4.54,4.58,2.77,6.642
11374,Premium,I,SI1,6.97,6.92,4.2,8.574
11375,Premium,G,VS1,6.85,6.88,4.23,8.968
11376,Very Good,D,VS1,4.67,4.7,3.01,6.874
11377,Premium,F,VS2,6.43,6.4,4.01,8.744
11378,Premium,H,VS2,5.78,5.74,3.52,7.748
11379,Very Good,H,SI1,4.52,4.56,2.77,6.196
11380,Ideal,F,VS1,4.79,4.76,2.92,6.981
11381,Premium,J,VS2,5.44,5.41,3.23,7.117
11382,Very Good,F,VS2,7.65,7.7,4.76,9.822
11383,Ideal,H,SI2,4.61,4.65,2.79,6.161
11384,Very Good,E,VS2,4.4,4.42,2.77,6.441
11385,Premium,D,SI2,6.79,6.71,4.22,8.78
11386,Ideal,E,VS2,4.48,4.49,2.79,6.613
11387,Premium,F,SI2,8.07,7.99,4.99,9.835
11388,Good,E,VVS2,3.88,3.92,2.47,6.273
11389,Very Good,J,SI1,6.17,6.12,3.9,7.974
11390,Premium,D,SI1,6.09,6.15,3.84,8.385
11391,Fair,D,SI1,6.24,6.22,3.76,8.246
11392,Fair,H,SI2,6.13,6.17,4.06,8.118
11393,Ideal,D,SI2,5.23,5.17,3.11,7.215
11394,Very Good,E,VS1,4.8,4.83,3.03,7.128
11395,Very Good,J,VS1,5.67,5.7,3.55,7.631
11396,Ideal,G,SI2,7.39,7.36,4.52,9.088
11397,Premium,G,SI1,6.47,6.42,3.74,8.395
11398,Good,D,SI1,4.22,4.26,2.69,6.244
11399,Ideal,F,VVS2,4.33,4.35,2.68,6.542
11400,Premium,J,VS2,6.78,6.69,4.23,8.272
11401,Premium,H,VS1,4.46,4.39,2.72,6.611
11402,Premium,D,SI1,7.12,7.03,4.4,9.287
11403,Ideal,F,VVS1,4.44,4.41,2.68,7.039
11404,Ideal,H,SI1,6.48,6.45,4.03,8.434
11405,Ideal,E,VS2,6.42,6.36,3.96,8.742
11406,Premium,F,I1,6.42,6.46,4.01,8.144
11407,Good,E,SI1,4.96,4.98,3.01,6.583
11408,Ideal,F,IF,4.35,4.38,2.7,6.818
11409,Very Good,D,VS2,6.31,6.38,3.97,8.819
11410,Premium,E,VVS2,5.28,5.27,3.22,7.746
11411,Good,I,SI1,6.01,5.99,3.84,7.761
11412,Premium,I,SI2,8.26,8.19,4.96,9.593
11413,Very Good,D,SI1,6.42,6.48,3.9,8.658
11414,Very Good,G,VVS1,4.1,4.13,2.52,6.301
11415,Premium,G,VS1,5.12,5.16,3.08,7.393
11416,Ideal,F,VS1,5.25,5.29,3.26,7.54
11417,Ideal,J,SI1,6.48,6.43,4.02,8.226
11418,Ideal,H,VS2,6.45,6.5,4.05,8.727
11419,Very Good,I,SI2,5.23,5.25,3.17,7.008
11420,Ideal,F,VVS1,4.51,4.56,2.79,6.851
11421,Very Good,E,SI1,4.47,4.5,2.82,6.39
11422,Premium,H,VS2,7.15,7.06,4.47,9.088
11423,Very Good,I,SI1,4.43,4.45,2.79,6.129
11424,Ideal,G,VVS2,6.64,6.66,4.13,9.071
11425,Very Good,E,VS2,4.38,4.41,2.69,6.486
11426,Very Good,G,VVS2,4.1,4.13,2.57,6.186
11427,Ideal,G,VS1,4.63,4.68,2.9,6.706
11428,Ideal,E,VVS2,5.16,5.19,3.2,7.797
11429,Ideal,I,VS1,4.08,4.11,2.56,6.033
11430,Good,J,SI1,6.19,6.25,3.57,7.617
11431,Premium,D,SI2,4.84,4.8,2.89,6.751
11432,Ideal,F,IF,4.42,4.46,2.74,6.886
11433,Fair,D,SI2,6.27,6.23,4.06,8.285
11434,Premium,E,VS2,6.38,6.27,3.98,8.758
11435,Ideal,H,SI1,6.46,6.4,3.98,8.52
11436,Good,G,SI2,5.82,5.77,3.37,7.551
11437,Premium,E,VS1,4.79,4.76,2.97,7.074
11438,Ideal,G,SI2,6.55,6.64,4.04,8.529
11439,Good,J,VS1,4.69,4.66,2.99,6.599
11440,Ideal,F,SI1,7.52,7.57,4.65,9.447
11441,Premium,D,IF,5.75,5.81,3.47,8.523
11442,Ideal,F,SI1,5.82,5.77,3.61,7.917
11443,Ideal,G,VS1,5.83,5.86,3.64,7.997
11444,Very Good,H,SI2,6.66,6.76,4.22,8.563
11445,Very Good,E,VS1,5.65,5.72,3.5,8.15
11446,Ideal,D,SI1,4.42,4.39,2.7,6.628
11447,Ideal,G,SI2,4.73,4.76,2.94,6.449
11448,Ideal,G,VVS2,4.81,4.82,2.95,6.938
11449,Ideal,F,VS1,5.71,5.67,3.56,7.979
11450,Very Good,G,SI1,6.03,6.06,3.59,7.909
11451,Premium,I,SI2,6.57,6.53,4.1,8.359
11452,Ideal,E,SI1,5.98,6.01,3.66,8.307
11453,Ideal,G,SI1,6.64,6.59,4.14,8.529
11454,Ideal,D,VVS2,5.79,5.73,3.58,8.355
11455,Ideal,G,IF,4.45,4.46,2.77,6.892
11456,Ideal,H,SI1,6.38,6.34,3.98,8.515
11457,Very Good,H,SI1,4.36,4.44,2.7,6.1
11458,Ideal,I,VS1,5.94,5.87,3.72,7.923
11459,Very Good,D,VS2,4.94,4.99,3.18,7.197
11460,Premium,I,VS2,7.68,7.65,4.64,9.339
11461,Fair,F,VS2,4.77,4.7,3.17,6.828
11462,Good,E,SI2,6.06,6.15,3.86,8.132
11463,Good,E,SI1,7.29,7.36,4.65,9.312
11464,Very Good,G,VVS2,6.39,6.44,3.88,8.89
11465,Ideal,F,IF,4.76,4.77,2.92,7.272
11466,Very Good,G,VS1,4.76,4.69,2.76,6.488
11467,Ideal,J,SI1,6.55,6.58,4.06,8.399
11468,Premium,H,VS2,6.13,6.19,3.8,8.358
11469,Very Good,G,SI2,8.22,8.26,4.93,9.668
11470,Ideal,G,VS1,7.53,7.47,4.64,9.508
11471,Very Good,F,SI1,5.62,5.65,3.51,7.726
11472,Ideal,H,SI2,4.46,4.48,2.73,6.071
11473,Premium,F,VS2,5.26,5.22,3.26,7.437
11474,Very Good,D,VS2,4.7,4.75,2.91,6.781
11475,Premium,E,SI1,4.75,4.77,2.97,6.627
11476,Ideal,E,VVS2,4.41,4.44,2.72,6.762
11477,Premium,G,IF,6.47,6.39,3.95,8.965
11478,Premium,E,SI1,8.04,7.98,5.04,9.719
11479,Very Good,F,VS1,6.4,6.51,3.9,8.882
11480,Good,H,SI2,5.38,5.35,3.04,6.966
11481,Very Good,H,SI2,7.08,7.01,4.3,8.378
11482,Ideal,F,VS1,4.13,4.11,2.51,6.363
11483,Very Good,E,VVS1,3.94,3.96,2.47,6.17
11484,Ideal,H,SI1,4.81,4.85,2.96,6.962
11485,Ideal,E,SI1,6.82,6.86,4.23,9.09
11486,Ideal,E,VVS2,6.93,6.97,4.23,9.473
11487,Very Good,G,SI1,4.52,4.58,2.81,6.407
11488,Ideal,E,SI2,5.75,5.78,3.53,7.871
11489,Premium,D,VS2,7.43,7.33,4.44,9.601
11490,Ideal,E,SI1,6.33,6.38,4.0,8.689
11491,Premium,F,SI2,4.86,4.82,2.92,6.81
11492,Ideal,G,VS2,6.53,6.5,4.0,8.747
11493,Ideal,F,IF,4.33,4.36,2.71,6.787
11494,Ideal,H,SI1,6.9,6.86,4.3,8.932
11495,Premium,F,VS2,5.8,5.72,3.38,7.952
11496,Very Good,F,SI1,5.62,5.78,3.55,7.678
11497,Premium,D,VVS2,5.44,5.39,3.18,7.754
11498,Fair,G,I1,6.13,6.02,4.13,7.467
11499,Premium,E,SI1,4.38,4.36,2.62,6.515
11500,Very Good,G,SI1,5.2,5.26,3.12,7.14
11501,Premium,D,SI1,5.38,5.33,3.27,7.521
11502,Ideal,H,VVS1,4.46,4.48,2.77,6.653
11503,Ideal,D,SI1,4.25,4.28,2.65,6.261
11504,Good,H,SI2,6.09,6.0,3.79,7.967
11505,Premium,G,VVS2,6.38,6.35,3.92,8.957
11506,Premium,G,VS1,5.66,5.58,3.52,7.838
11507,Good,E,SI2,5.86,5.83,3.38,7.703
11508,Premium,F,SI1,7.42,7.33,4.49,9.086
11509,Very Good,E,IF,4.43,4.46,2.73,6.926
11510,Good,G,VVS2,6.65,6.68,3.88,8.896
11511,Premium,F,SI1,5.81,5.78,3.59,7.835
11512,Ideal,D,VS2,4.66,4.7,2.94,6.822
11513,Ideal,H,SI2,5.79,5.76,3.57,7.503
11514,Ideal,F,VS2,5.99,5.96,3.7,8.147
11515,Good,E,SI1,5.6,5.54,3.5,7.943
11516,Good,I,VVS1,7.21,7.26,4.63,9.138
11517,Ideal,D,VS1,4.8,4.83,2.95,7.048
11518,Very Good,D,SI1,4.76,4.73,3.01,6.81
11519,Ideal,G,IF,5.33,5.28,3.29,7.783
11520,Ideal,F,SI2,5.86,5.89,3.54,7.872
11521,Premium,D,SI1,4.54,4.57,2.72,6.439
11522,Very Good,E,VS1,4.19,4.23,2.62,6.059
11523,Ideal,G,IF,4.27,4.29,2.65,6.76
11524,Ideal,G,VVS2,5.18,5.2,3.24,7.494
11525,Ideal,G,SI2,5.18,5.14,3.22,6.997
11526,Very Good,D,SI1,4.27,4.32,2.7,6.347
11527,Good,E,VS2,5.8,5.75,3.42,7.847
11528,Premium,G,SI2,5.33,5.28,3.12,7.078
11529,Very Good,G,SI1,7.31,7.39,4.52,9.174
11530,Ideal,I,VVS1,4.37,4.4,2.72,6.323
11531,Fair,I,VS2,7.57,7.51,4.43,9.118
11532,Good,F,SI1,6.11,6.25,4.05,8.382
11533,Ideal,J,VVS2,4.31,4.32,2.68,6.084
11534,Ideal,D,SI1,5.48,5.18,3.16,7.431
11535,Ideal,D,IF,5.45,5.49,3.32,8.334
11536,Premium,J,VS2,5.4,5.33,3.23,7.07
11537,Ideal,E,VS2,5.97,6.02,3.68,8.287
11538,Ideal,I,VVS1,4.86,4.83,3.05,6.875
11539,Very Good,G,SI1,5.12,5.24,3.24,7.144
11540,Very Good,E,IF,5.72,5.76,3.46,8.451
11541,Ideal,D,SI2,5.72,5.8,3.54,7.79
11542,Fair,E,SI1,6.99,6.81,3.71,8.474
11543,Ideal,H,VVS1,4.37,4.4,2.7,6.532
11544,Very Good,E,SI1,6.51,6.53,4.0,8.519
11545,Very Good,F,SI1,5.89,5.82,3.71,7.955
11546,Premium,G,VS2,6.59,6.56,3.95,8.811
11547,Ideal,G,IF,4.84,4.87,3.03,7.184
11548,Ideal,G,SI2,6.75,6.67,4.18,8.502
11549,Very Good,F,SI2,6.93,6.96,4.23,8.447
11550,Premium,G,SI1,5.21,5.14,3.15,7.155
11551,Premium,G,VS2,4.29,4.25,2.64,6.446
11552,Ideal,G,VVS2,6.86,6.88,4.19,9.353
11553,Very Good,H,SI2,8.28,8.17,5.21,9.314
11554,Premium,D,VS1,5.66,5.61,3.47,8.007
11555,Very Good,D,VS1,4.24,4.29,2.71,6.547
11556,Ideal,G,VS1,7.53,7.5,4.6,9.744
11557,Good,D,SI1,5.52,5.48,3.53,7.748
11558,Fair,E,SI2,6.19,6.13,4.13,8.051
11559,Very Good,D,VS2,4.03,4.04,2.43,6.038
11560,Ideal,F,SI1,5.75,5.71,3.51,7.901
11561,Ideal,G,SI1,5.8,5.85,3.59,7.923
11562,Ideal,H,VS2,5.3,5.34,3.32,7.378
11563,Ideal,G,SI1,5.76,5.8,3.58,8.036
11564,Very Good,I,SI1,6.88,6.92,4.39,8.661
11565,Premium,J,VS1,8.3,8.34,5.13,9.62
11566,Ideal,D,VS2,4.58,4.62,2.81,6.748
11567,Premium,G,VS1,7.29,7.22,4.53,9.473
11568,Ideal,H,VVS1,6.55,6.59,4.06,9.11
11569,Very Good,H,VS1,5.1,5.13,3.18,7.395
11570,Very Good,F,VS2,5.07,5.12,3.09,7.27
11571,Premium,E,VS1,5.41,5.36,3.27,7.652
11572,Good,I,SI1,6.08,6.15,3.85,8.07
11573,Ideal,D,VS2,5.14,5.17,3.23,7.508
11574,Very Good,G,VS1,4.45,4.49,2.76,6.531
11575,Ideal,H,SI1,5.26,5.19,3.25,7.123
11576,Ideal,G,VS2,6.15,6.17,3.78,8.424
11577,Very Good,G,VS2,6.41,6.52,3.88,8.591
11578,Ideal,I,SI1,4.51,4.56,2.78,6.157
11579,Very Good,G,VVS2,6.19,6.27,3.88,8.553
11580,Ideal,D,VS2,5.29,5.26,3.26,7.616
11581,Very Good,E,VS2,6.34,6.42,4.01,8.788
11582,Premium,F,VS2,6.58,6.62,4.14,8.834
11583,Premium,D,SI2,4.57,4.51,2.76,6.506
11584,Good,F,VS1,5.05,5.09,2.91,7.042
11585,Premium,G,VVS2,7.34,7.31,4.58,9.649
11586,Premium,G,VS2,6.16,6.21,3.82,8.386
11587,Premium,E,VS1,5.83,5.74,3.63,8.006
11588,Very Good,H,VS2,5.8,5.9,3.39,7.827
11589,Ideal,I,SI2,6.86,6.9,4.21,8.578
11590,Ideal,D,VVS2,7.16,7.23,4.27,9.668
11591,Very Good,F,SI1,6.08,6.11,3.81,8.281
11592,Very Good,G,VS1,4.62,4.68,2.9,6.751
11593,Ideal,D,VVS1,5.58,5.61,3.41,8.528
11594,Premium,J,SI2,8.57,8.53,5.03,9.228
11595,Very Good,J,VVS2,7.24,7.29,4.55,9.054
11596,Ideal,G,VVS1,4.98,5.03,3.04,7.281
11597,Ideal,G,VVS2,6.82,6.86,4.26,9.288
11598,Ideal,D,VS1,6.59,6.63,4.04,9.164
11599,Ideal,F,VS2,7.36,7.31,4.61,9.667
11600,Ideal,H,VS2,4.57,4.58,2.84,6.342
11601,Very Good,F,VS1,5.64,5.75,3.54,7.969
11602,Premium,F,VS2,6.98,6.93,4.23,9.18
11603,Good,G,VS1,4.28,4.33,2.72,6.438
11604,Ideal,F,VS2,6.58,6.61,4.09,8.94
11605,Very Good,E,SI2,6.38,6.41,4.0,8.388
11606,Ideal,F,VS2,5.74,5.71,3.51,7.907
11607,Fair,H,SI2,8.46,8.43,5.48,9.494
11608,Very Good,E,VVS2,3.96,3.98,2.47,6.41
11609,Premium,I,SI2,8.45,8.39,5.26,9.612
11610,Ideal,D,SI2,8.25,8.18,5.14,9.705
11611,Ideal,E,VS2,6.89,6.84,4.21,9.232
11612,Very Good,F,SI2,6.31,6.37,3.97,8.314
11613,Premium,I,SI1,4.38,4.41,2.64,6.035
11614,Ideal,E,VVS2,5.12,5.18,3.22,7.719
11615,Ideal,H,SI1,7.29,7.34,4.56,9.129
11616,Fair,J,VS2,6.29,6.24,4.12,8.068
11617,Ideal,F,VS2,4.52,4.56,2.76,6.56
11618,Ideal,I,VS2,4.29,4.31,2.69,6.043
11619,Ideal,F,SI1,6.62,6.67,1.07,8.684
11620,Premium,D,VS2,4.63,4.6,2.84,7.018
11621,Ideal,E,VS1,4.47,4.5,2.73,6.745
11622,Ideal,J,VS2,8.34,8.39,5.15,9.641
11623,Premium,I,SI1,6.76,6.7,4.09,8.456
11624,Very Good,F,IF,6.48,6.59,3.87,9.287
11625,Very Good,J,SI2,5.67,5.76,3.49,7.475
11626,Good,J,VS1,5.71,5.68,3.63,7.631
11627,Ideal,G,VVS2,7.3,7.36,4.58,9.62
11628,Premium,H,VS2,6.56,6.52,4.06,8.599
11629,Very Good,G,SI1,5.1,5.15,3.2,7.05
11630,Fair,E,SI2,5.58,5.63,3.62,7.646
11631,Very Good,H,VVS2,4.07,4.09,2.55,6.186
11632,Very Good,G,VVS2,5.06,5.1,3.08,7.57
11633,Ideal,G,SI2,6.07,6.19,3.77,8.222
11634,Ideal,H,VS1,5.73,5.77,3.58,7.944
11635,Ideal,D,VS2,4.37,4.35,2.68,6.848
11636,Ideal,I,VVS2,4.85,4.9,2.97,6.834
11637,Ideal,F,VVS2,4.73,4.77,2.96,7.017
11638,Very Good,H,SI2,5.72,5.77,3.53,7.743
11639,Very Good,H,VS1,6.08,6.11,3.85,8.372
11640,Ideal,F,VS1,4.32,4.35,2.67,6.431
11641,Ideal,H,VS1,7.44,7.49,4.64,9.458
11642,Premium,G,VS1,5.69,5.66,3.53,7.882
11643,Very Good,D,SI1,6.34,6.45,3.98,8.634
11644,Ideal,F,SI1,5.65,5.74,3.56,7.8
11645,Very Good,I,SI2,6.21,6.13,3.76,7.902
11646,Ideal,J,VS2,6.83,6.8,4.28,8.604
11647,Ideal,E,SI1,4.48,4.45,2.81,6.64
11648,Very Good,G,VS2,7.59,7.69,4.55,9.476
11649,Ideal,J,SI2,6.9,6.86,4.3,8.464
11650,Ideal,E,VS2,4.37,4.34,2.68,6.771
11651,Premium,D,VS2,4.68,4.63,2.84,6.897
11652,Ideal,H,SI2,5.1,5.14,3.19,6.871
11653,Very Good,D,VVS2,4.47,4.48,2.72,6.957
11654,Ideal,J,VS1,5.25,5.28,3.21,7.123
11655,Ideal,G,IF,5.15,5.19,3.19,7.726
11656,Ideal,H,SI2,7.32,7.38,4.59,8.991
11657,Ideal,E,VVS2,4.38,4.41,2.72,6.642
11658,Good,E,SI1,5.83,5.91,3.71,8.041
11659,Ideal,G,IF,4.87,4.88,3.02,7.184
11660,Premium,G,VS2,4.5,4.46,2.73,6.611
11661,Ideal,G,VVS2,5.14,5.16,3.2,7.514
11662,Ideal,E,VS2,6.62,6.56,4.09,8.964
11663,Premium,F,SI2,8.11,8.01,4.94,9.734
11664,Fair,I,VS1,6.34,6.25,4.11,8.233
11665,Premium,E,VS1,4.64,4.67,2.81,6.748
11666,Ideal,G,VS2,6.21,6.24,3.86,8.698
11667,Premium,H,VS1,8.62,8.59,5.24,9.827
11668,Ideal,I,VVS1,5.19,5.17,3.21,7.39
11669,Premium,G,SI1,5.85,5.76,3.54,7.845
11670,Very Good,F,SI1,4.77,4.8,3.01,6.675
11671,Ideal,H,VVS1,5.36,5.38,3.27,7.575
11672,Very Good,D,VVS2,4.04,4.07,2.38,6.184
11673,Very Good,E,VVS2,4.1,4.13,2.52,6.227
11674,Very Good,G,SI1,5.14,5.1,3.25,7.065
11675,Very Good,F,SI1,7.45,7.55,4.55,9.375
11676,Premium,G,VVS2,4.47,4.5,2.72,6.623
11677,Ideal,J,SI1,4.63,4.66,2.81,6.209
11678,Ideal,E,VVS1,4.76,4.8,2.93,7.22
11679,Ideal,G,VS2,6.46,6.49,4.05,8.793
11680,Ideal,E,VS2,5.18,5.25,3.2,7.451
11681,Fair,H,VS2,7.92,7.87,5.15,9.454
11682,Good,D,VS1,5.65,5.6,3.61,8.213
11683,Premium,J,VS2,4.38,4.35,2.7,6.223
11684,Ideal,F,IF,5.16,5.18,3.19,7.78
11685,Very Good,F,VVS1,4.09,4.13,2.53,6.488
11686,Good,J,SI2,6.37,6.33,4.07,8.055
11687,Good,J,VS2,5.18,5.21,3.33,6.941
11688,Ideal,E,VVS1,6.72,6.77,4.09,9.584
11689,Very Good,E,VS1,4.66,4.69,2.96,6.812
11690,Ideal,F,VVS2,6.96,7.04,4.35,9.444
11691,Fair,G,SI1,6.0,6.15,4.11,8.197
11692,Ideal,D,VS2,5.15,5.17,3.19,7.508
11693,Very Good,F,VS1,5.79,5.76,3.45,7.98
11694,Good,D,SI1,5.32,5.35,3.4,7.435
11695,Ideal,D,VS2,4.43,4.46,2.76,6.661
11696,Premium,I,VS1,5.72,5.76,3.55,7.743
11697,Ideal,E,SI1,6.08,6.11,3.76,8.311
11698,Ideal,G,SI2,8.16,8.21,5.09,9.776
11699,Good,D,SI1,6.1,6.04,3.88,8.213
11700,Ideal,E,SI2,6.39,6.33,3.86,8.313
11701,Ideal,G,VVS2,5.35,5.39,3.34,7.682
11702,Premium,D,SI1,5.82,5.75,3.48,7.945
11703,Premium,D,SI2,4.83,4.78,2.98,6.759
11704,Premium,D,SI1,6.37,6.43,3.93,8.661
11705,Very Good,H,SI2,4.26,4.22,2.69,6.045
11706,Ideal,I,SI1,5.28,5.32,3.31,7.067
11707,Ideal,F,SI1,6.51,6.53,4.06,8.732
11708,Ideal,G,VVS2,4.09,4.11,2.57,6.242
11709,Very Good,I,VS2,6.03,6.06,3.74,7.978
11710,Very Good,G,SI2,6.33,6.37,3.95,8.421
11711,Premium,D,SI2,7.51,7.46,4.43,9.239
11712,Very Good,J,SI1,5.64,5.67,3.5,7.418
11713,Premium,H,SI1,5.22,5.1,3.16,7.055
11714,Ideal,G,VS1,4.48,4.44,2.74,6.75
11715,Ideal,H,VS2,5.76,5.82,3.61,7.843
11716,Ideal,G,VS2,7.41,7.49,4.64,9.531
11717,Premium,H,I1,7.31,7.22,4.57,8.3
11718,Very Good,E,SI1,5.69,5.73,3.5,7.914
11719,Ideal,F,SI1,4.81,4.84,2.92,6.812
11720,Ideal,F,SI2,8.09,8.02,5.03,9.448
11721,Very Good,E,SI2,4.94,4.82,3.09,6.594
11722,Ideal,J,VVS2,5.74,5.77,3.54,7.673
11723,Good,F,SI2,6.61,6.67,4.02,8.45
11724,Ideal,E,VS2,4.25,4.23,2.58,6.286
11725,Very Good,G,SI1,4.35,4.37,2.62,6.103
11726,Ideal,G,VS2,6.38,6.46,3.98,8.668
11727,Very Good,G,IF,4.27,4.33,2.64,6.652
